#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
6200,-295292.7032377785,62119.482035586494,-233173.221202192,308.85048033900387,0.9957489333630352
6300,-295621.42439394724,62303.6994192875,-233317.72497465974,309.7663866791478,0.9957489333630352
6400,-294875.2283110814,61762.337038351805,-233112.8912727296,307.0747990175882,0.9957489333630352
6500,-295122.66213797824,62321.923638984736,-232800.7384989935,309.8569952744363,0.9957489333630352
6600,-295248.76670920197,62846.52296093578,-232402.2437482662,312.4652390533731,0.9957489333630352
6700,-294979.8136617495,62663.12441114726,-232316.6892506022,311.55340385546833,0.9957489333630352
6800,-296117.6154735952,63530.59396070917,-232587.02151288604,315.86635654409787,0.9957489333630352
6900,-294938.1882637744,62459.70880803524,-232478.47945573914,310.54204631237735,0.9957489333630352
7000,-294759.27160658455,62387.95714051189,-232371.31446607265,310.1853057818138,0.9957489333630352
7100,-294755.12609924935,62355.26509460504,-232399.8610046443,310.02276492102857,0.9957489333630352
7200,-295190.5414864179,62732.51943255903,-232458.02205385885,311.8984274292947,0.9957489333630352
7300,-294979.9417261174,62395.32501634781,-232584.6167097696,310.2219379609053,0.9957489333630352
7400,-294904.0779767446,62426.630597555806,-232477.44737918882,310.3775854884852,0.9957489333630352
7500,-294850.78323593317,62388.79031092685,-232461.9929250063,310.18944820339277,0.9957489333630352
7600,-294992.7859582463,62313.22306808326,-232679.56289016307,309.81373709819127,0.9957489333630352
7700,-295761.1875453568,63043.43882215372,-232717.74872320308,313.4442806733385,0.9957489333630352
7800,-295102.6956924363,62520.2329607713,-232582.462731665,310.84296501021737,0.9957489333630352
7900,-295190.76708256267,62822.74292176857,-232368.0241607941,312.3470076020055,0.9957489333630352
8000,-294519.605421192,62135.98885349772,-232383.6165676943,308.9325502222947,0.9957489333630352
8100,-295142.00953443814,62318.69140450831,-232823.31812992983,309.8409249992521,0.9957489333630352
8200,-295773.1417472353,63087.36761471117,-232685.77413252415,313.66268926654453,0.9957489333630352
8300,-295210.8776471298,62260.15113061899,-232950.72651651083,309.54986990482075,0.9957489333630352
8400,-296058.81010257173,63142.98366069308,-232915.82644187866,313.9392054568474,0.9957489333630352
8500,-295586.7315254165,62485.33348770067,-233101.39803771582,310.6694490910848,0.9957489333630352
8600,-295683.56959651504,62563.979050991074,-233119.59054552397,311.0604652297071,0.9957489333630352
8700,-295281.2927210862,62193.23782888893,-233088.05489219725,309.2171851382517,0.9957489333630352
8800,-295921.3218872128,63230.68345831998,-232690.63842889282,314.3752381431339,0.9957489333630352
8900,-295521.78100528196,62532.88612161251,-232988.89488366945,310.90587498105987,0.9957489333630352
9000,-295663.23153552413,62675.707693394506,-232987.52384212962,311.6159663984734,0.9957489333630352
9100,-296205.6354318352,62827.37786080036,-233378.25757103483,312.3700519529789,0.9957489333630352
9200,-295632.3630767567,62013.50978148906,-233618.85329526765,308.32359923008136,0.9957489333630352
9300,-295839.84976360295,62354.368143212836,-233485.4816203901,310.0183053882178,0.9957489333630352
9400,-296549.9034748804,63041.37171234895,-233508.53176253143,313.4340032557684,0.9957489333630352
9500,-295777.38324824744,62208.35412460065,-233569.0291236468,309.29234151493944,0.9957489333630352
9600,-296420.57990291435,62361.436371745775,-234059.14353116858,310.0534477575037,0.9957489333630352
9700,-295654.385642943,61511.937172342616,-234142.44847060036,305.82984145581304,0.9957489333630352
9800,-296618.4440212436,62725.32176392537,-233893.12225731823,311.86264149963176,0.9957489333630352
9900,-296312.6250228104,62802.20768704417,-233510.41733576625,312.24490892216016,0.9957489333630352
10000,-295272.9806730645,62522.87976842078,-232750.1009046437,310.85612461469435,0.9957489333630352
10100,-295298.69882536633,62495.5445752918,-232803.15425007453,310.72021737188754,0.9957489333630352
10200,-295425.0858501536,62857.35376186331,-232567.73208829027,312.5190884732219,0.9957489333630352
10300,-295250.352554186,62925.79838208301,-232324.554172103,312.8593867683585,0.9957489333630352
10400,-295738.2512419941,63567.82343251241,-232170.42780948168,316.0514569324528,0.9957489333630352
10500,-295129.44432863593,63039.17836038768,-232090.26596824825,313.42309817760946,0.9957489333630352
10600,-295321.88521786453,63452.39984434401,-231869.48537352053,315.4775849444694,0.9957489333630352
10700,-295166.3333565481,63521.675248022424,-231644.65810852568,315.82201379353,0.9957489333630352
10800,-294940.9202785953,63455.75436046116,-231485.16591813415,315.4942631890416,0.9957489333630352
10900,-295701.2643579403,63382.75226515625,-232318.51209278405,315.13130568421633,0.9957489333630352
11000,-294463.29555048887,62281.127220575116,-232182.16832991375,309.6541604630529,0.9957489333630352
11100,-294864.7061870252,63088.75251634326,-231775.95367068192,313.66957482837273,0.9957489333630352
11200,-294818.6027094554,62832.11355071585,-231986.48915873957,312.39359722504497,0.9957489333630352
11300,-295244.2398729455,63293.99394308077,-231950.2459298647,314.6900101436097,0.9957489333630352
11400,-295024.53390902607,62753.339514090214,-232271.19439493585,312.00194233268553,0.9957489333630352
11500,-295442.2733987691,62853.960810706485,-232588.3125880626,312.5022191343251,0.9957489333630352
11600,-295010.86722282064,62705.64683678094,-232305.2203860397,311.7648201640367,0.9957489333630352
11700,-295626.67960752826,63110.64969308721,-232516.02991444105,313.7784449176559,0.9957489333630352
11800,-295638.75336997956,62876.691624759,-232762.06174522056,312.6152339665253,0.9957489333630352
11900,-295561.8165096864,62630.119232330646,-232931.69727735576,311.3893061360871,0.9957489333630352
12000,-295981.5833808335,62966.10720352433,-233015.47617730917,313.0597973071475,0.9957489333630352
12100,-295848.47399871144,62705.69919382513,-233142.7748048863,311.765080476868,0.9957489333630352
12200,-296081.4264602689,62968.25975353399,-233113.16670673492,313.0704995229847,0.9957489333630352
12300,-295050.2006397573,61737.93475066929,-233312.26588908804,306.9534738225745,0.9957489333630352
12400,-295514.49237469304,62344.39087179548,-233170.10150289757,309.96869961288377,0.9957489333630352
12500,-295383.726207939,62180.289618799,-233203.43658913998,309.1528082185679,0.9957489333630352
12600,-295893.77684582584,62558.99560261381,-233334.78124321203,311.0356881328185,0.9957489333630352
