#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
7500,-114641.13409179356,22878.033089555334,-91763.10100223823,305.3591896180469,1.018537270733841
7600,-114888.6735172504,23316.85322364379,-91571.82029360661,311.21623860511687,1.018537270733841
7700,-114361.45520714717,22724.325339296018,-91637.12986785115,303.3076114131607,1.018537270733841
7800,-114635.58529056911,22986.851950776065,-91648.73333979305,306.8116238875249,1.018537270733841
7900,-114546.24380226096,22935.714366709653,-91610.5294355513,306.12907695840653,1.018537270733841
8000,-114496.6789122246,22843.407595681492,-91653.2713165431,304.89703394635734,1.018537270733841
8100,-114994.41154917586,23281.505480309017,-91712.90606886684,310.7444428778671,1.018537270733841
8200,-114992.62883161416,23435.504759348347,-91557.12407226581,312.79991219488113,1.018537270733841
8300,-114640.58547446167,23083.512604110874,-91557.07287035079,308.1017793241714,1.018537270733841
8400,-114491.02344549203,22780.593878015643,-91710.42956747639,304.0586425580654,1.018537270733841
8500,-114863.77081375767,23161.81504542404,-91701.95576833363,309.1469028245574,1.018537270733841
8600,-114807.66914429015,22953.728871566942,-91853.94027272321,306.3695213437722,1.018537270733841
8700,-115200.9847663393,23480.34760153957,-91720.63716479973,313.39844153077644,1.018537270733841
8800,-114846.74500155146,22993.902919838205,-91852.84208171326,306.90573504605015,1.018537270733841
8900,-114804.67080100987,22967.464824052993,-91837.20597695687,306.55285875321437,1.018537270733841
9000,-115114.27357414342,23083.936091638636,-92030.33748250478,308.1074317247857,1.018537270733841
9100,-114824.76678082708,22815.03075059282,-92009.73603023426,304.5182806511648,1.018537270733841
9200,-114328.20479505742,22594.72415382485,-91733.48064123257,301.5777899370705,1.018537270733841
9300,-114604.80356863874,22888.233099785633,-91716.57046885311,305.4953318661951,1.018537270733841
9400,-114768.32567646808,22917.749212751165,-91850.57646371692,305.88929127260684,1.018537270733841
9500,-114499.57918567781,22808.359349827282,-91691.21983585053,304.4292356915999,1.018537270733841
9600,-114324.62504297058,22906.445833445294,-91418.17920952529,305.73842206408375,1.018537270733841
9700,-114484.7892756554,23298.71042491775,-91186.07885073766,310.974081847379,1.018537270733841
9800,-114572.76045433118,23236.903605333064,-91335.85684899811,310.1491297954535,1.018537270733841
9900,-114487.99666869093,23291.551370283123,-91196.44529840781,310.878528041984,1.018537270733841
10000,-114432.05364665587,23244.295750276186,-91187.75789637968,310.24779471916156,1.018537270733841
10100,-114449.96276098967,23249.72646191623,-91200.23629907344,310.32027987113946,1.018537270733841
10200,-114492.89256629767,23578.744063141523,-90914.14850315615,314.71176526181745,1.018537270733841
10300,-114480.00638824655,23463.775504676858,-91016.23088356969,313.1772493483689,1.018537270733841
10400,-114457.53719573922,23430.43714682886,-91027.10004891036,312.73227342339266,1.018537270733841
10500,-114265.07895139977,23309.565061985224,-90955.51388941455,311.1189615739511,1.018537270733841
10600,-114177.39873373212,22974.854470468126,-91202.54426326399,306.65149032840515,1.018537270733841
10700,-114716.75058086589,23391.940163003514,-91324.81041786238,312.21844394611065,1.018537270733841
10800,-114643.3505576424,23414.567964057438,-91228.78259358497,312.5204632222267,1.018537270733841
10900,-114226.56474292593,23014.27771820966,-91212.28702471626,307.1776828964176,1.018537270733841
11000,-114365.96085003612,23257.69619345572,-91108.2646565804,310.42665399669676,1.018537270733841
11100,-114367.2503574522,23375.22783622425,-90992.02252122795,311.9953800777278,1.018537270733841
11200,-114210.28216545685,23179.718777170638,-91030.56338828622,309.38586869176635,1.018537270733841
11300,-114441.5761804849,23336.86733740568,-91104.70884307922,311.4833723021149,1.018537270733841
11400,-114413.86806141573,23223.326221708907,-91190.54183970683,309.96790884676545,1.018537270733841
11500,-114211.69070440962,22832.456195143517,-91379.2345092661,304.7508626920205,1.018537270733841
11600,-114425.38724093128,23186.282341018785,-91239.10489991249,309.473474323327,1.018537270733841
11700,-114704.19303659012,23306.882545261586,-91397.31049132854,311.08315731011163,1.018537270733841
11800,-114616.94994689303,23241.307589237113,-91375.64235765592,310.20791093939044,1.018537270733841
11900,-114513.39593967621,23229.719431882724,-91283.67650779348,310.0532407225475,1.018537270733841
12000,-114474.62647953263,23110.50730506319,-91364.11917446944,308.4620847741423,1.018537270733841
12100,-114603.27032357745,23089.475114538567,-91513.79520903889,308.18136253594326,1.018537270733841
12200,-114209.36428035365,22796.62100881012,-91412.74327154353,304.2725609334846,1.018537270733841
